Id,FirstName,LastName,UserName,PrincipalName,Nickname,Type
1,Seyi,Adekoya,Seyi Adekoya,sadekoya@jasondrewpanzergmail.onmicrosoft.com,Seyi,employee
2,Tony,Alfaro,Tony Alfaro,talfaro@jasondrewpanzergmail.onmicrosoft.com,Tony,employee
3,Osvaldo,Alonso,Osvaldo Alonso,oalonso@jasondrewpanzergmail.onmicrosoft.com,Osvaldo,manager
4,Jordy,Delem,Jordy Delem,jdelem@jasondrewpanzergmail.onmicrosoft.com,Jordy,employee
5,Clint,Dempsey,Clint Dempsey,cdempsey@jasondrewpanzergmail.onmicrosoft.com,Clint,employee
6,Elizabeth,Addo,Elizabeth Addo,eaddo@jasondrewpanzergmail.onmicrosoft.com,Elizabeth,employee
7,Morgan,Andrews,Morgan Andrews,mandrews@jasondrewpanzergmail.onmicrosoft.com,Morgan,employee
8,Yael,Averbuch,Yael Averbuch,yaverbuch@jasondrewpanzergmail.onmicrosoft.com,Yael,employee
9,Lauren,Barnes,Lauren Barnes,lbarnes@jasondrewpanzergmail.onmicrosoft.com,Lauren,manager
10,Jasmyne,Spencer,Jasmyne Spencer,jspencer@jasondrewpanzergmail.onmicrosoft.com,Jasmyne,employee
